route_id,origin,destination,base_distance_km,region,terrain,typical_load_mean_tons,toll_per_km_usd,base_speed_kmh,base_fuel_l_per_km,maintenance_multiplier
US035,"Los Angeles, CA","San Francisco, CA",612,West,hilly,17.0,0.015,72.0,0.33,1.1
US036,"Los Angeles, CA","Phoenix, AZ",599,West,mixed,17.0,0.015,70.0,0.34,1.12
US037,"Los Angeles, CA","Las Vegas, NV",435,West,mixed,17.0,0.015,70.0,0.34,1.12
US038,"Los Angeles, CA","Sacramento, CA",620,West,hilly,17.0,0.015,72.0,0.33,1.1
US039,"San Diego, CA","Phoenix, AZ",571,West,mixed,17.0,0.015,70.0,0.34,1.12
US040,"San Diego, CA","Los Angeles, CA",193,West,flat,17.0,0.015,85.0,0.28,1.0
US041,"San Francisco, CA","Sacramento, CA",142,West,flat,17.0,0.015,85.0,0.28,1.0
US042,"San Francisco, CA","Portland, OR",1022,West,mountainous,17.0,0.015,60.0,0.39,1.25
US043,"San Francisco, CA","Seattle, WA",1304,West,mountainous,17.0,0.015,60.0,0.39,1.25
US044,"Portland, OR","Seattle, WA",278,West,mountainous,17.0,0.015,60.0,0.39,1.25
US045,"Seattle, WA","Spokane, WA",449,West,mountainous,17.0,0.015,60.0,0.39,1.25
US046,"Seattle, WA","Denver, CO",2140,West,mountainous,17.0,0.015,60.0,0.39,1.25
US047,"Denver, CO","Salt Lake City, UT",837,West,mountainous,17.0,0.015,60.0,0.39,1.25
US048,"Denver, CO","Phoenix, AZ",1384,West,mountainous,17.0,0.015,60.0,0.39,1.25
US049,"Denver, CO","Dallas, TX",1255,West,mixed,17.0,0.015,70.0,0.34,1.12
US050,"Phoenix, AZ","Albuquerque, NM",676,West,mountainous,17.0,0.015,60.0,0.39,1.25
US051,"Albuquerque, NM","Denver, CO",724,West,mountainous,17.0,0.015,60.0,0.39,1.25
US052,"Las Vegas, NV","Phoenix, AZ",483,West,mixed,17.0,0.015,70.0,0.34,1.12
US053,"Las Vegas, NV","Salt Lake City, UT",676,West,mountainous,17.0,0.015,60.0,0.39,1.25
US054,"Salt Lake City, UT","Boise, ID",547,West,mountainous,17.0,0.015,60.0,0.39,1.25
US055,"Boise, ID","Portland, OR",692,West,mountainous,17.0,0.015,60.0,0.39,1.25
US056,"Boise, ID","Seattle, WA",805,West,mountainous,17.0,0.015,60.0,0.39,1.25
US057,"Los Angeles, CA","Dallas, TX",2312,Cross-Country,mixed,21.0,0.018,70.0,0.34,1.12
US058,"Los Angeles, CA","Denver, CO",1635,Cross-Country,mountainous,21.0,0.018,60.0,0.39,1.25
US059,"Los Angeles, CA","Chicago, IL",3243,Cross-Country,mixed,21.0,0.018,70.0,0.34,1.12
US060,"Los Angeles, CA","Houston, TX",2490,Cross-Country,mixed,21.0,0.018,70.0,0.34,1.12
US061,"Dallas, TX","Chicago, IL",1558,Cross-Country,flat,21.0,0.018,85.0,0.28,1.0
US062,"Dallas, TX","Atlanta, GA",1257,Cross-Country,mixed,21.0,0.018,70.0,0.34,1.12
US063,"Houston, TX","Atlanta, GA",1276,Cross-Country,mixed,21.0,0.018,70.0,0.34,1.12
US064,"Houston, TX","Chicago, IL",1748,Cross-Country,flat,21.0,0.018,85.0,0.28,1.0
US065,"Phoenix, AZ","Dallas, TX",1714,Cross-Country,mixed,21.0,0.018,70.0,0.34,1.12
US066,"San Francisco, CA","Denver, CO",2012,Cross-Country,mountainous,21.0,0.018,60.0,0.39,1.25
US067,"San Francisco, CA","Dallas, TX",2752,Cross-Country,mixed,21.0,0.018,70.0,0.34,1.12
US068,"Seattle, WA","Chicago, IL",3315,Cross-Country,mixed,21.0,0.018,70.0,0.34,1.12
US069,"Portland, OR","Denver, CO",2012,Cross-Country,mountainous,21.0,0.018,60.0,0.39,1.25
US070,"Miami, FL","Houston, TX",1915,Cross-Country,flat,21.0,0.018,85.0,0.28,1.0
US071,"New York, NY","Chicago, IL",1271,Cross-Country,flat,21.0,0.018,85.0,0.28,1.0
US072,"New York, NY","Atlanta, GA",1400,Cross-Country,hilly,21.0,0.018,72.0,0.33,1.1
US073,"New York, NY","Miami, FL",2042,Cross-Country,flat,21.0,0.018,85.0,0.28,1.0
US074,"New York, NY","Detroit, MI",990,Cross-Country,flat,21.0,0.018,85.0,0.28,1.0
US075,"Washington, DC","Atlanta, GA",1030,Cross-Country,hilly,21.0,0.018,72.0,0.33,1.1
US076,"Washington, DC","Chicago, IL",1127,Cross-Country,flat,21.0,0.018,85.0,0.28,1.0
US077,"Cleveland, OH","New York, NY",740,Cross-Country,hilly,21.0,0.018,72.0,0.33,1.1
